Name                    ,aptitude               ,snap                      ,flatpak                                   ,Description
Akregator               ,                       ,                          ,org.kde.akregator                         ,Manténgase al día con sus fuentes de noticias
Alpaca                  ,                       ,                          ,com.jeffser.Alpaca                        ,Chatea con modelos de IA
Android Debug Bridge    ,adb                    ,                          ,                                          ,Android Debug Bridge
Android Studio          ,                       ,android-studio            ,com.google.AndroidStudio                  ,IDE for Android app development
AppFlowy                ,                       ,                          ,io.appflowy.AppFlowy                      ,Open Source Notion Alternative
Adwaita Icon Theme      ,adwaita-icon-theme     ,                          ,                                          ,default icon theme of GNOME
Aisleriot               ,aisleriot              ,                          ,org.gnome.Aisleriot                       ,GNOME solitaire card game collection
AnyDesk                 ,                       ,                          ,com.anydesk.Anydesk                       ,Conéctese a un ordenador de forma remota
Arduino                 ,arduino                ,arduino                   ,cc.arduino.arduinoide                     ,AVR development board IDE from Arduino CC
Ark                     ,ark                    ,ark                       ,org.kde.ark                               ,archive utility
Armagetron Advanced     ,armagetronad           ,armagetron                ,org.armagetronad.ArmagetronAdvanced       ,3D Tron-like high speed game
ASCII Draw              ,                       ,ascii-draw                ,io.github.nokse22.asciidraw               ,Sketch anything using characters
Atom                    ,                       ,                          ,io.atom.Atom                              ,A hackable text editor for the 21st Century
Audacity                ,audacity               ,audacity                  ,                                          ,fast cross-platform audio editor
AudioTube               ,                       ,audiotube                 ,org.kde.audiotube                         ,Aplicación de música de YouTube
Avogadro                ,                       ,                          ,org.openchemistry.Avogadro2               ,Free and open source molecular editor
Barcoder                ,                       ,                          ,cz.ondrejkolin.Barcoder                   ,Create barcodes
bat                     ,bat                    ,                          ,                                          ,cat(1) clone with syntax highlighting and git integration
bc                      ,bc                     ,                          ,                                          ,GNU bc arbitrary precision calculator language
Billard                 ,billard-gl             ,                          ,de.billardgl.Billardgl                    ,3D billiards game
BinEd                   ,                       ,                          ,org.exbin.BinEd                           ,Binary/Hex Editor
Bitwarden               ,                       ,                          ,com.bitwarden.desktop                     ,A secure and free password manager for all of your devices
Blanket                 ,                       ,                          ,com.rafaelmardojai.Blanket                ,Listen to ambient sounds
Blender                 ,blender                ,blender                   ,org.blender.Blender                       ,Free and open source 3D creation suite
Bomberman               ,                       ,bombermaaan               ,com.github.bjaraujo.Bombermaaan           ,Arcade Game
Bottles                 ,                       ,                          ,com.usebottles.bottles                    ,Ejecute software de Windows
Boxes                   ,                       ,                          ,org.gnome.Boxes                           ,Virtualización sencilla
Brave                   ,                       ,brave                     ,com.brave.Browser                         ,The web browser from Brave
Breeze                  ,breeze                 ,                          ,                                          ,Default Plasma theme (Metapackage)
Breeze Cursor Theme     ,breeze-cursor-theme    ,                          ,                                          ,Default Plasma cursor theme
Breeze Icon Theme       ,breeze-icon-theme      ,                          ,                                          ,Default Plasma icon theme
btop                    ,btop                   ,btop                      ,                                          ,Modern and colorful command line resource monitor that shows usage and stats
caca                    ,caca-utils             ,                          ,                                          ,text mode graphics utilities
Calculus                ,                       ,                          ,com.github.carlos157oliveira.Calculus     ,Compute derivatives and integrals
Cambalache              ,                       ,                          ,ar.xjuan.Cambalache                       ,Create GTK 4 user interfaces
Cantor                  ,cantor                 ,cantor                    ,org.kde.cantor                            ,Interfaz de KDE para software matemático
Chrome                  ,                       ,                          ,com.google.Chrome                         ,The web browser from Google
Chromium                ,chromium               ,chromium                  ,org.chromium.Chromium                     ,web browser
Chromium B.S.U.         ,                       ,                          ,net.sourceforge.chromium-bsu              ,Fast paced arcade-style top-scrolling space shooter
clangd                  ,clangd                 ,                          ,                                          ,Language server that provides IDE-like features to editors
Code::Blocks            ,codeblocks             ,                          ,                                          ,Code::Blocks integrated development environment (IDE)
Code::Blocks (all)      ,codeblocks-*           ,                          ,                                          ,Code::Blocks complements
Cohesion                ,                       ,                          ,io.github.brunofin.Cohesion               ,Unofficial Notion Desktop client
ColorWall               ,                       ,colorwall                 ,com.ktechpit.colorwall                    ,The Ultimate Desktop Wallpaper Application
ConvertAll              ,convertall             ,                          ,                                          ,very flexible unit converter
ConverterNOW            ,                       ,converternow              ,io.github.ferraridamiano.ConverterNOW     ,A simple immediate and fast unit converter!
Convolution             ,                       ,                          ,org.gnome.gitlab.bazylevnik0.Convolution  ,Maze escaping game
Cozy                    ,                       ,                          ,com.github.geigi.cozy                     ,Listen to audio books
cowsay                  ,cowsay                 ,                          ,                                          ,configurable talking cow
